code,name
101080201,包头
101030200,武清
101010600,通州
101041300,万州
101130101,乌鲁木齐
101010400,顺义
101110210,旬邑
101270301,自贡
101020600036,张江镇
101041700031,双江街道
101042100013,双江镇
101050401019,望江镇
101050507019,长江乡
101050602027,长江乡
101060303006,两江镇
101090101053,长江街道
101230703,连城
101240408,南城
101060109,宽城
101180111,管城
101180713,宛城
101181205,山城
101181505,郾城
101080408003,察右前旗天皮山冶金化工工业园区
101080408004,黄茂营乡
101080408005,黄旗海镇
101201107,丹江口
101220504012,香泉镇
101220603013,汤泉乡
101270204005,和爱彝族乡
101270204006,红宝苗族彝族乡
101270204007,红格镇
101270204008,红果彝族乡
101270204010,箐河傈僳族乡
101270204011,桐子林镇
101081011009,莫拐农场
101081011010,暖泉街道
101081011011,胜利街道
101081011012,塔尔气镇
101081011013,图里河镇
101081011014,乌尔其汉镇
101081011015,乌奴耳镇
101081011016,新工街道
101081011017,牙克石农场
10119030106A,焦山风景区
101050112020,小山子镇
101050801142,笑山林场
101090501046,小山街道
101090704007,小山乡
101100205003,蕉山乡
101100511010,桥上乡
101100713006,桥上镇
10108020105A,南海湿地景区
101042500016,桥头镇
101060307006,老头沟镇
101070501022,桥头街道
101080201041,包头市装备制造产业园区
101230111,福清
101260213,余庆
10103050005A,天津杨柳青博物馆
10106040502A,牧情谷旅游风景区
101030200001,白古屯镇
101030200002,曹子里镇
101030200003,汊沽港镇
101050903,肇州
101070203,金州
101070701,锦州
101070803,盖州
101081010,满洲里
101090116,晋州
101090218,涿州
101090219,定州
101090608,霸州
101130113,乌鲁木齐县
101130101067,板房沟乡
101130101068,甘沟乡
101130101069,萨尔达坂乡
101130101070,水西沟镇
101130101071,托里乡
101130101072,永丰乡
101130101088,乌鲁木齐经济技术开发区街道
101131011008,乌鲁木齐西路街道
101260201,遵义
101260216,遵义县（现：播州）
10126020103A,遵义会议会址
101010400001,北石槽镇
101180913,西工
10101090004A,北宫森林公园
10110010104A,森林公园西门
10118060101A,鸡公山国家级风景名胜区
10127030102A,自贡市景点盐业历史博物馆
10127030103A,恐龙博物馆
101020300001,宝山城市工业园区
101120301,淄博
101260412,荔波
101271617,雷波
101080302,海勃湾
401702100,克莱本基地
601605100,提伯布拉机场
601206100,提伯布拉邮局
502191100,伊伯提拉玛
240220100,拉齐布日
101120206020,长江路街道
101121701016,香江管委会
101200210,樊城
101280805,禅城
101081011018,伊图里河镇
101081011019,永兴街道
101100802009,庙上乡
101110310005,桥山镇
101120906008,庙山镇
101121503014,峤山镇
101121601013,苗山镇
101161305007,条山集团
101161305010,一条山镇
101200105010,江夏区经济开发区庙山办事处
101200506011,三角山林场
101200705007,鹿角山林场
101080609008,桥头镇
101090108003,桥头乡
101090110004,高头回族乡
101090212021,桥头乡
101090219009,号头庄回族乡
101090803008,肖桥头镇
101100208003,马道头乡
101100509004,大堡头镇
101030200004,陈咀镇
101090701,沧州
101090810,冀州
101090811,深州
101091015,曲周
101100606,泽州
101100711,霍州
101100901,朔州
101101001,忻州
101110105,周至
101010400002,北务镇
101010400003,北小营镇
101010400004,大孙各庄镇
101010400005,高丽营镇
101010400006,光明街道
101010400007,后沙峪地区办事处
101010400008,空港街道
101010400009,李桥镇
101010400010,李遂镇
101010400011,龙湾屯镇
101010400012,马坡地区办事处
